,Title,Published_date,Views,likes,Month
0,LADKIYON KA BEST FRIEND,11-08-2022,10471106,2521285,Aug
1,INDIAN FOOD MAGIC | CARRYMINATI,21-04-2022,27203459,4838741,Apr
2,GETTING MARRIED? QNA 2022 | CARRYMINATI,16-02-2022,19359687,2688432,Feb
3,THARA BHAiiiii | CARRYMINATI,19-01-2022,46528607,6247308,Jan
4,METUBE SPACE | CARRYMINATI,03-12-2021,18560096,2454875,Dec
5,CANCEL CULTURE ORGANIZATION | CARRYMINATI,05-09-2021,21962279,2163297,Sep
6,SOCIAL MEDIA CULTURE | CARRYMINATI,05-09-2021,21216974,2820367,Sep
7,THE LAND OF BIGG BOSS | CARRYMINATI,23-05-2021,48782338,4548382,May
8,VARDAAN - CARRYMINATI X Wily Frenzy,17-01-2021,63117032,6358919,Jan
9,MASSAGE PARADISE,20-11-2020,38564377,5091403,Nov
10,IDLES OF INDIA: GONE RIGHT,04-09-2020,43971938,5503319,Sep
11,THE ART OF BAD WORDS,10-07-2020,45966977,6226104,Jul
12,YALGAAR - CARRYMINATI X Wily Frenzy,05-06-2020,307312795,17139102,Jun
13,YALGAAR....COMING SOON,24-05-2020,38605376,4953269,May
14,STOP MAKING ASSUMPTIONS | YOUTUBE VS TIK TOK: THE END,17-05-2020,76844873,9083222,May
15,WARRIOR - CARRYMINATI X Wily Frenzy,24-04-2020,15674179,1381100,Apr
16,FILM THE FLARE,10-04-2020,53001921,3839709,Apr
17,ARE YOU A VIRGIN? QNA 2020 | CARRYMINATI,07-03-2020,27370388,2573680,Mar
18,BIG BOSS BIG BOSS BIG BOSS PART 2 | CARRYMINATI,12-02-2020,64507315,5088786,Feb
19,Zindagi - CARRYMINATI X Wily Frenzy,17-01-2020,32498183,2614527,Jan
20,LADKA LADKI AUR WOH | CARRYMINATI,28-12-2019,29689761,3043933,Dec
21,NOT A DARING SHOW FT. WAKAR ZAQA  | CARRYMINATI,24-11-2019,45503482,4131193,Nov
22,TALENTED PEOPLE OF VIGO | CARRYMINATI,14-10-2019,37571315,3200287,Oct
23,CUTE GIRLS PRANK | CARRYMINATI,12-09-2019,43404170,3807024,Sep
24,WILDEST PARTIES OF INDIA | CARRYMINATI,13-08-2019,34180520,2649557,Aug
25,I JUMPED OFF A PLANE | CARRYMINATI QnA 2019,13-07-2019,13941679,1195870,Jul
26,TIKTOK EVOLUTION 2019 | CARRYMINATI,05-07-2019,70095877,5546852,Jul
27,SCHOOL TRIP OF THE YEAR,29-05-2019,19358797,1510913,May
28,TRIGGERR - CARRYMINATI X Wily Frenzy,20-04-2019,23405339,1641855,Apr
29,NO MORE SINGLE: VALENTINE SPECIAL FEAT ROCKY,11-02-2019,64191865,4117745,Feb
30,MY REAL AGE | QNA 2019,15-01-2019,13047960,1302192,Jan
31,Bye Pewdiepie | Carryminati,01-01-2019,59471580,3595669,Jan
32,WEDDING OF THE YEAR (I'M INVITED!),05-12-2018,48271639,3436890,Dec
33,BIG BOSS BIG BOSS BIG BOSS PART 1,06-11-2018,36671803,2646741,Nov
34,PUBG INDIA: REAL LIFE BATTLE ROYALE,11-09-2018,39368221,2446588,Sep
35,INDIAN KID MEETS TOM CRUISE,04-08-2018,31728583,2670031,Aug
36,HOW TO GET MODERN LOVE,14-06-2018,23914159,1964706,Jun
37,THE PERFECT BRIDE,10-05-2018,27267915,2218913,May
38,QnA 2018,29-04-2018,8771877,869332,Apr
39,ADS KA BADSHAAH,17-04-2018,18513159,1185360,Apr
40,SANGEET BHOJPURI,16-03-2018,24669736,1711244,Mar
41,SOUTH INDIAN ACTION,13-02-2018,20231448,1797027,Feb
42,Success Story Of A Cringe Pop Artist,26-01-2018,43789520,2840788,Jan
43,HUMANS EVOLVED TOO FAR,27-12-2017,9349018,804183,Dec
44,THE MOST FEARED TRIBE,16-12-2017,10674348,755673,Dec
45,THE ALMIGHTY STRANGER,02-12-2017,14790583,1118452,Dec
46,THE TIME WE TRANSFORM,16-11-2017,10411015,770152,Nov
47,ANSWERING SOME THINGS (QnA),03-11-2017,11859558,945252,Nov
48,WHEN A MERMAID HITS PUBERTY,29-10-2017,14052360,1128882,Oct
49,THESE SUPERSTITIONS WILL MAKE YOU RICH,21-10-2017,11979333,1046517,Oct
50,TIME TO PUT A FULL STOP,08-10-2017,11589064,775697,Oct
51,A NEW BREED IS BORN,25-09-2017,20797963,1637972,Sep
52,MSG: A NATURAL DISASTER,13-09-2017,31887616,1962227,Sep
