,Title,Published_date,Views,Month
0,Agaaz Hai Tu (Full Video) - Shabaash Mithu | Taapsee Pannu | Neha Kakkar | Amit Trivedi | Swanand K,13-08-2022,9648,Aug
1,The Devil's Fury - Gumma Banda Gumma | Audio Theme Song Hindi | Vikrant Rona | Kichcha Sudeep | Anup,13-08-2022,5886,Aug
2,Ra Ra Rakkamma Hindi (Audio Song) | Vikrant Rona | Kichcha Sudeep |Jacqueline | Anup Bhandari,12-08-2022,149928,Aug
3,Ra Ra Rakkamma Hindi (Full Video Song) | Vikrant Rona | Kichcha Sudeep |Jacqueline | Anup Bhandari,12-08-2022,305911,Aug
4,"Dhoke Pyaar Ke - Behind The Scenes | B Praak | Khushalii, Ehan, Vardhan | Bhushan Kumar",12-08-2022,97259,Aug
5,"Hindustan Meri Jaan (Full Video) Shabaash Mithu | Taapsee Pannu | Amit Trivedi, Ruchika | Swanand K",12-08-2022,59873,Aug
6,Hey Fakira Hindi Audio Song | Vikrant Rona | Kichcha Sudeep | Nirup Bhandari | Anup Bhandari,12-08-2022,25306,Aug
7,Punch Of Amitabh & Abhishek (Jukebox) | Hits of Bachchan | Amitabh Abhishek Hits | AB Hits,11-08-2022,21113,Aug
8,"Pyaar Karenge : Token - The Treasure | Javed Ali, Leena, Harpreet T| Dilip S, M. Prakash | Bhushan K",11-08-2022,43375,Aug
9,"Jubin Nautiyal: Teri Galliyon Se | Gurmeet Choudhary, Arushi Nishank | Meet Bros, Rashmi | Bhushan K",11-08-2022,8342219,Aug
10,#Shaamat | Dil Teri Shaamat Aayi Hai | #tarasutaria #arjunkapoor #ankittiwari #shorts | Ankit Tiwari,10-08-2022,205302,Aug
11,"Aaina - The Great Weddings Of Munnes | Abhishek B, Barkha S, Raaj S | Prini S M, Vikrant B, Sameer A",10-08-2022,53247,Aug
12,LAAPATAA LADIES OFFICIAL TEASER|Aamir Khan Productions|Kiran Rao|Nitanshi-Pratibha-Sparsh-RaviKishan,10-08-2022,994704,Aug
13,"Dil (Full Video) Raghav's Version : Ek Villain Returns | John, Disha, Arjun, Tara | Kaushik-Guddu",10-08-2022,903306,Aug
14,Musical Journey of Tur Kalleyan - Laal Singh Chaddha Aamir | Kareena | Advait | Pritam | Amitabh B,09-08-2022,193006,Aug
